class_id,class_name,test,train,valid,total
14,Police car,1.0,0.0,1.0,2.0
7,Leguna,2.0,24.0,1.0,27.0
13,Pickup truck,2.0,24.0,4.0,30.0
8,Manhole,4.0,36.0,5.0,45.0
10,Mini truck,2.0,66.0,5.0,73.0
4,Dog,7.0,63.0,5.0,75.0
9,Micro Bus,11.0,101.0,12.0,124.0
19,Speed Breaker,13.0,114.0,9.0,136.0
17,Road barrier,7.0,117.0,14.0,138.0
5,Garbage van,10.0,116.0,21.0,147.0
22,Van,25.0,137.0,19.0,181.0
21,Truck,25.0,156.0,24.0,205.0
1,Bicycle,17.0,183.0,29.0,229.0
0,Auto rickshaw,15.0,212.0,22.0,249.0
23,Zebra Crossing,27.0,236.0,31.0,294.0
11,Minivan,39.0,329.0,22.0,390.0
18,SUV,38.0,334.0,29.0,401.0
15,Pothole,111.0,747.0,85.0,943.0
12,Motorbike,122.0,949.0,85.0,1156.0
20,Three wheelers -CNG-,152.0,1467.0,141.0,1760.0
3,Car,173.0,1438.0,164.0,1775.0
16,Rickshaw,299.0,2300.0,252.0,2851.0
2,Bus,314.0,2535.0,289.0,3138.0
6,Human,855.0,7480.0,744.0,9079.0
