class_id,class_name,tp,fp,fn,precision,recall,f1
6,Human,0,903,0,0.0,,
2,Bus,0,337,0,0.0,,
16,Rickshaw,0,324,0,0.0,,
3,Car,0,189,0,0.0,,
20,Three wheelers -CNG-,0,162,0,0.0,,
15,Pothole,0,130,0,0.0,,
12,Motorbike,0,124,0,0.0,,
18,SUV,0,37,0,0.0,,
11,Minivan,0,35,0,0.0,,
23,Zebra Crossing,0,28,0,0.0,,
21,Truck,0,27,0,0.0,,
22,Van,0,27,0,0.0,,
1,Bicycle,0,24,0,0.0,,
0,Auto rickshaw,0,16,0,0.0,,
9,Micro Bus,0,14,0,0.0,,
17,Road barrier,0,12,0,0.0,,
5,Garbage van,0,10,0,0.0,,
19,Speed Breaker,0,8,0,0.0,,
4,Dog,0,5,0,0.0,,
8,Manhole,0,3,0,0.0,,
10,Mini truck,0,3,0,0.0,,
7,Leguna,0,2,0,0.0,,
13,Pickup truck,0,1,0,0.0,,
14,Police car,0,0,0,,,
