file,size_mb,modified_time
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\best.pt,5.979,2026-06-10T13:58:42
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch0.pt,23.391,2026-06-10T12:09:38
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch10.pt,23.392,2026-06-10T12:19:04
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch100.pt,23.403,2026-06-10T13:42:22
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch110.pt,23.404,2026-06-10T13:51:08
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch20.pt,23.393,2026-06-10T12:28:23
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch30.pt,23.394,2026-06-10T12:37:25
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch40.pt,23.396,2026-06-10T12:46:39
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch50.pt,23.397,2026-06-10T12:55:57
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch60.pt,23.398,2026-06-10T13:05:13
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch70.pt,23.399,2026-06-10T13:14:29
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch80.pt,23.4,2026-06-10T13:23:47
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\epoch90.pt,23.402,2026-06-10T13:33:06
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\model\checkpoints\yolov8n_dhakaroadnet_baseline\last.pt,5.979,2026-06-10T13:58:42
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\reports\training\yolov8n_dhakaroadnet_baseline\results.csv,0.015,2026-06-10T13:58:42
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\reports\training\yolov8n_dhakaroadnet_baseline\results.png,0.232,2026-06-10T13:58:50
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\reports\training\yolov8n_dhakaroadnet_baseline\args.yaml,0.002,2026-06-10T12:08:18
C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\reports\training\yolov8n_dhakaroadnet_baseline\confusion_matrix.png,0.315,2026-06-10T13:58:48
