epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5505,1.96594,2.98725,1.4413,0.18999,0.12135,0.07695,0.03366,2.19051,3.44723,1.57284,0.000330303,0.000330303,0.0673
2,128.28,1.86438,2.03819,1.40409,0.56095,0.20539,0.20434,0.09203,1.98031,1.97785,1.42101,0.000663524,0.000663524,0.0342999
3,185.664,1.81466,1.77201,1.38376,0.55719,0.27384,0.25527,0.12645,1.91157,1.71881,1.3956,0.000996293,0.000996293,0.00129932
4,244.137,1.78297,1.65931,1.37052,0.509,0.30968,0.32157,0.16027,1.8332,1.79479,1.36452,0.000998474,0.000998474,0.000998474
5,300.182,1.77346,1.58052,1.36183,0.62271,0.36941,0.43137,0.20641,1.85365,1.48097,1.35511,0.000997288,0.000997288,0.000997288
6,354.807,1.73191,1.50613,1.33554,0.60406,0.38906,0.42073,0.21094,1.8457,1.49788,1.35118,0.000995765,0.000995765,0.000995765
7,410.585,1.70519,1.46323,1.32811,0.5396,0.47406,0.47929,0.25279,1.76134,1.38392,1.32423,0.000993906,0.000993906,0.000993906
8,465.971,1.67599,1.40101,1.31118,0.61909,0.4673,0.54052,0.27817,1.77688,1.32614,1.30965,0.000991711,0.000991711,0.000991711
9,521.501,1.66774,1.34137,1.29998,0.56397,0.48879,0.54076,0.28931,1.82653,1.28525,1.31194,0.000989183,0.000989183,0.000989183
10,577.766,1.65513,1.31102,1.295,0.52042,0.50968,0.53344,0.28124,1.72934,1.27973,1.2846,0.000986323,0.000986323,0.000986323
11,632.933,1.63514,1.28573,1.27828,0.62577,0.50258,0.56785,0.30193,1.75501,1.28441,1.29125,0.000983133,0.000983133,0.000983133
12,689.203,1.6196,1.26594,1.27056,0.67899,0.46526,0.54278,0.28829,1.80063,1.30632,1.30305,0.000979616,0.000979616,0.000979616
13,745.041,1.6192,1.26028,1.27559,0.54618,0.55379,0.5931,0.32297,1.77312,1.23612,1.31099,0.000975773,0.000975773,0.000975773
14,801.233,1.61188,1.22138,1.2633,0.63443,0.47193,0.59184,0.29244,1.80969,1.33353,1.32987,0.000971608,0.000971608,0.000971608
15,857.692,1.58584,1.19259,1.24364,0.71279,0.56269,0.61511,0.31878,1.80997,1.2864,1.30321,0.000967122,0.000967122,0.000967122
16,912.64,1.57771,1.18673,1.24248,0.62517,0.53601,0.61023,0.32575,1.73031,1.18771,1.2886,0.00096232,0.00096232,0.00096232
17,968.637,1.56259,1.16532,1.23728,0.67517,0.60981,0.63748,0.35362,1.67272,1.16555,1.26018,0.000957205,0.000957205,0.000957205
18,1023.87,1.52753,1.13612,1.23086,0.63925,0.57598,0.63124,0.34036,1.72503,1.13622,1.27506,0.00095178,0.00095178,0.00095178
19,1079.81,1.5429,1.13306,1.22783,0.64089,0.60721,0.65806,0.37476,1.67776,1.1811,1.26096,0.000946048,0.000946048,0.000946048
20,1136.22,1.53179,1.12268,1.22012,0.59103,0.66345,0.66903,0.36136,1.78103,1.13699,1.28594,0.000940014,0.000940014,0.000940014
